p_codmes,key_value,target,monto,ctd_prod_rccsf_m01,prom_salvig_entprinc_pp_rccsf_03m,max_usotcrrstsf06m,max_usotcrrstsf03m,prm_lintcribksf06m,lin_tcribksf03m,lin_tcribksf06m,cre_salvig_pp_rccsf_m02,prm_usotcrrstsf06m,prm_lintcribksf03m,prm_usotcrrstsf03m,ratuso_tcrrstsf_m13,promctdprodrccsf3m,ratpct_saldopprcc_m13,promctdprodrccsf6m,ctd_actrccsf_6m,ctd_flgact_rccsf_m01,sld_ep1ppeallsfm01,prm_sldvigrstsf12m,sldtot_tcrsrcf,sldvig_tcrsrcf,flg_lintcrripsaga,flg_svtcrsrcf,flg_sdtcrripsaga,flg_sttcrsrcf,flg_svltcrsrcf,max_camptottlv06m,min_camptottlv06m,frc_camptottlv06m,rec_camptottlv06m,grp_camptottlv06m,ctd_camptottlv06m,prm_camptottlv06m,max_campecstlv06m,min_campecstlv06m,frc_campecstlv06m,rec_campecstlv06m,grp_campecstlv06m,ctd_campecstlv06m,prm_campecstlv06m,prob_value,max_camptot06m,min_camptot06m,frc_camptot06m,rec_camptot06m,grp_camptot06m,ctd_camptot06m,prm_camptot06m,max_campecs06m,min_campecs06m,frc_campecs06m,rec_campecs06m,grp_campecs06m,ctd_campecs06m,prm_campecs06m,ing_brt,sexo,region,flg_notdeseaecs01m,flg_notdeseaecs02m,flg_notdeseaecs03m,sgt_cem,ctd_proac,ctd_cttefeproac,ctd_cttefetot,rng_pst,ubigeo_buro,edad,grp_riesgociiu,flg_saltothip12m,flg_saltotppe12m,prm_pctsaltototrent12m,prm_pctsaltotcaja12m,ant_saltot24m,ant_saltot12m,min_difsaltottcr12m,num_incrsaldispefe06m,max_difent12m,num_dismsalppecons06m,seg_un,beta_pctusotcr12m,prm_pctusosaltottcr03m,dsv_saltotppe03m,prm_diasatrrdpn12m,dsv_numentrdlintcr03m,rat_disefepnm01,prm_diasatrrdpn06m,pct_usotcrm01,dsv_numentrdlintcr06m,beta_saltotppe12m,prm_entrd03m,ctd_entrdm01,beta_saltotppe06m,prm_diasatrrd03m
201911.0,3D36430B185876E1BC1D1C8CA32E791BAD3EDB54210B0A76222C7B90DAF26349,0,29500.0,3,0.0,0.02,0.007,33583.333,101600.0,201500.0,0.0,0.008,33866.667,0.004,0.286,3,0.0,3,6,1,0.0,459.84,0.0,0.0,0,0,0,0,0,3,1,6,6,4,8,1.333,2,0,5,5,3,6.0,1.2,0.5120415140410971,7.0,4.0,6.0,6.0,4,32.0,5.333,2.0,1.0,6.0,6,4,7,1.167,5196.0,1.0,3,0.0,0.0,0.0,6.0,20.0,3.0,3.0,5.0,3,66.0,5,0.0,0.0,0.0,0.0,22.0,12.0,-4631.93,0.0,1.0,0.0,2.0,0.001,0.05,0.0,0.0,0.4714,0.0,0.0,0.03,0.57735,0.0,2.333,2.0,0.0,0.0
201910.0,DE5E20EE5962ED67C3264E8FB907565252C8D9046AE7CC9D67F4AEBAB360CF3D,0,46500.0,5,0.0,0.437,0.437,35900.0,107700.0,215400.0,0.0,0.346,35900.0,0.384,1.259,5,0.0,5,12,2,0.0,39753.872,11324.87,11324.87,1,1,1,1,1,3,1,6,6,4,10,1.667,2,0,5,6,3,6.0,1.2,0.5598425187726828,9.0,5.0,6.0,6.0,4,46.0,7.667,2.0,0.0,5.0,6,3,6,1.2,8133.0,1.0,3,0.0,0.0,0.0,6.0,31.0,3.0,3.0,5.0,3,50.0,5,1.0,0.0,0.0,0.0,24.0,12.0,-35040.81,0.0,0.0,0.0,2.0,-0.006,0.194,0.0,0.0,0.0,0.0,0.0,0.194,0.0,0.0,3.667,4.0,0.0,0.0
201911.0,7538158FAAB26F6EA4C4C9A83DFE838353986281278882D96EDC5B9319367197,0,5600.0,5,0.0,0.062,0.024,10238.73,30603.33,61432.38,0.0,0.019,10201.11,0.013,2.667,5,0.0,5,6,1,0.0,236.714,367.91,367.91,1,1,1,1,1,1,0,3,6,2,3,1.0,1,0,3,6,2,3.0,1.0,0.4570759082580248,7.0,4.0,6.0,6.0,4,31.0,5.167,2.0,0.0,5.0,6,3,6,1.2,1778.0,1.0,3,0.0,0.0,0.0,6.0,21.0,1.0,1.0,5.0,2,27.0,4,0.0,0.0,0.0,0.0,24.0,12.0,-3881.44,0.0,1.0,0.0,2.0,-0.024,0.018,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,2.0,2.0,0.0,0.0
201911.0,3775EBA8EE8B519EB9EB65BF58B196E02C725BC934BBA56775A4C520A609A34B,0,26200.0,3,0.0,0.008,0.008,9000.0,27000.0,54000.0,0.0,0.001,9000.0,0.003,0.0,3,0.0,3,6,1,0.0,3186.702,38.95,38.95,1,1,1,1,1,3,1,6,6,4,9,1.5,2,0,4,6,3,5.0,1.25,0.5462566343476684,8.0,4.0,6.0,6.0,4,34.0,5.667,2.0,0.0,4.0,6,3,5,1.25,4382.0,1.0,1,0.0,0.0,0.0,6.0,16.0,2.0,2.0,5.0,8,50.0,2,0.0,1.0,0.0,0.0,24.0,12.0,-334.1,0.0,2.0,0.0,2.0,0.059,0.509,0.0,0.0,0.0,0.0,0.0,0.487,0.37268,-8487.403,1.333,2.0,0.0,0.0
201910.0,D689889303F3A79655397008179BA8FFDCFD10805D60BC6EF20A5D2C0733542D,0,30000.0,3,0.0,0.047,0.014,40000.0,120000.0,160000.0,0.0,0.021,40000.0,0.011,1.4,3,0.0,2,6,1,0.0,3129.0,0.0,0.0,1,0,1,0,0,3,0,3,6,2,5,1.667,2,0,2,6,2,3.0,1.5,0.624958179297289,8.0,4.0,6.0,6.0,4,36.0,6.0,2.0,0.0,2.0,6,2,3,1.5,9006.0,1.0,3,0.0,0.0,0.0,6.0,18.0,2.0,2.0,5.0,3,58.0,1,0.0,0.0,0.0,0.0,24.0,12.0,-5197.33,0.0,1.0,0.0,2.0,-0.001,0.009,0.0,0.0,0.0,0.0,0.0,0.011,0.4714,0.0,1.667,2.0,0.0,0.0
201909.0,740F08121D0E2771C04CFA8BB64ECB01D55E451627B26784AAC64B8ACC0DA6DD,0,15000.0,4,0.0,0.777,0.777,579.0,1737.0,3474.0,0.0,0.659,579.0,0.622,0.586,3,0.0,3,6,1,0.0,41619.467,2310.15,2310.15,0,1,0,1,1,2,0,5,6,3,7,1.4,1,0,3,5,2,3.0,1.0,0.4434373345633491,7.0,3.0,6.0,6.0,4,32.0,5.333,1.0,0.0,4.0,5,3,4,1.0,7957.0,1.0,6,0.0,0.0,0.0,6.0,17.0,0.0,0.0,5.0,11,56.0,4,0.0,1.0,0.0,0.0,24.0,12.0,-39974.97,1.0,1.0,0.0,2.0,0.035,0.553,0.0,0.0,0.4714,0.071,0.0,0.401,0.4714,0.0,3.667,4.0,0.0,0.0
201910.0,83E09F4A7F78F7A94038E921CD8FCB43988AAAF56044F60BB31D1ED2BE1F8A50,0,17100.0,7,111901.8,0.256,0.256,4600.0,13800.0,27600.0,0.015,0.205,4600.0,0.236,0.965,7,1.002,7,12,2,112804.23,122924.139,3159.73,3159.73,1,1,1,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.2556896536895061,6.0,3.0,6.0,6.0,4,26.0,4.333,1.0,0.0,3.0,3,1,3,1.0,7996.0,1.0,6,0.0,0.0,0.0,6.0,22.0,0.0,0.0,5.0,11,55.0,5,0.0,1.0,0.0,0.0,24.0,12.0,-1318.19,0.0,0.0,3.0,2.0,0.007,0.197,672.22371,0.0,0.0,0.0,0.0,0.186,0.0,-1139.078,3.667,3.0,-1868.286,0.0
201909.0,413E3539D8A3412463497B026BBA3BD35C50FC023A1C52D329FB48D5EBBA1BF5,0,16500.0,5,16792.27,0.114,0.101,13366.667,42300.0,80200.0,-0.034,0.08,14100.0,0.085,0.604,5,0.956,5,12,2,16309.73,12363.212,483.9,483.9,1,1,1,1,1,1,0,3,5,2,3,1.0,1,0,1,5,2,1.0,1.0,0.6346640509373482,6.0,2.0,6.0,6.0,4,27.0,4.5,1.0,0.0,1.0,5,2,1,1.0,5960.0,1.0,3,0.0,0.0,0.0,6.0,13.0,1.0,1.0,5.0,6,55.0,5,0.0,1.0,0.0,0.0,24.0,12.0,-3160.65,0.0,0.0,4.0,2.0,-0.012,0.261,360.14792,0.0,0.0,0.0,0.0,0.245,0.0,-290.173,4.0,4.0,-290.173,0.0
201911.0,A6579CDBF408756E4973560C369E2E6F2BE7F60A310C8C7B597A6151BAA8F754,0,20400.0,2,0.0,1.0,1.0,2701.487,7360.59,16208.92,0.0,0.486,2453.53,0.41,0.072,2,0.0,2,6,1,0.0,495.801,202.22,202.22,1,1,1,1,1,1,0,1,6,2,1,1.0,0,0,0,0,0,0.0,0.0,0.5792079078669274,3.0,2.0,6.0,6.0,4,17.0,2.833,0.0,0.0,0.0,0,0,0,0.0,1678.0,1.0,4,0.0,0.0,0.0,6.0,13.0,0.0,0.0,5.0,9,28.0,4,0.0,0.0,0.0,0.0,18.0,12.0,-825.18,0.0,0.0,0.0,2.0,0.013,0.258,0.0,0.0,0.0,0.0,0.0,0.084,0.0,0.0,2.0,2.0,0.0,0.0
201911.0,9E19C730E6E03B6196F889FD143DCD1D126B2BAA241CFF1B1241483B6282A4E8,0,27900.0,3,0.0,0.0,0.0,24981.873,69771.66,149891.24,0.0,0.0,23257.22,0.0,0.0,3,0.0,3,12,2,0.0,1028.368,0.0,0.0,0,0,0,0,0,1,0,1,6,2,1,1.0,1,0,1,6,2,1.0,1.0,0.6395685820248513,5.0,3.0,6.0,6.0,4,24.0,4.0,1.0,0.0,1.0,6,2,1,1.0,10304.0,1.0,3,0.0,0.0,0.0,6.0,14.0,0.0,0.0,5.0,6,33.0,0,0.0,0.0,0.0,0.0,24.0,12.0,-1595.4,0.0,0.0,3.0,2.0,0.025,0.49,0.0,0.0,0.0,0.0,0.0,0.477,0.0,0.0,1.0,1.0,0.0,0.0
201910.0,99CDBEE98A47F7FC4E6EF51B1F0D0611E82F55CAA0E2138978E8049D3D5E9B24,0,12000.0,6,23000.0,0.12,0.12,4300.0,8600.0,8600.0,0.0,0.071,4300.0,0.087,3.333,5,0.0,3,7,2,23000.0,3834.231,391.06,391.06,1,1,1,1,1,2,0,4,6,3,5,1.25,0,0,0,0,0,0.0,0.0,0.5320548739885756,6.0,0.0,4.0,6.0,3,19.0,4.75,0.0,0.0,0.0,0,0,0,0.0,5316.0,1.0,3,0.0,0.0,0.0,6.0,5.0,0.0,0.0,5.0,3,46.0,5,0.0,1.0,2.147,0.0,13.0,12.0,-1674.54,0.0,1.0,0.0,2.0,-0.048,0.101,0.0,0.0,0.4714,0.0,0.0,0.155,1.25831,0.0,3.667,4.0,0.0,0.0
201910.0,C29775C7F53693919615189AC01C60B958DFB9A4E55A051DB1A6FA22D9D9EC9E,0,4600.0,3,0.0,0.797,0.797,17400.0,52200.0,104400.0,0.0,0.594,17400.0,0.611,0.543,3,0.0,3,12,2,0.0,28191.385,866.27,866.27,1,1,1,1,1,2,0,5,6,3,6,1.2,2,0,4,6,3,5.0,1.25,0.3978017424323646,8.0,3.0,6.0,6.0,4,36.0,6.0,2.0,0.0,5.0,6,3,6,1.2,3850.0,1.0,2,0.0,0.0,0.0,6.0,16.0,1.0,1.0,5.0,0,30.0,4,0.0,1.0,0.0,0.0,24.0,12.0,-4876.94,0.0,0.0,3.0,2.0,0.001,0.197,603.69334,0.0,0.0,0.127,0.0,0.191,0.0,533.749,3.0,3.0,-336.062,0.0
201911.0,2A3081C0BBEB78373913400C92A914C29255A99917CD8A23BCA28DC5BB16F49C,0,7900.0,4,121885.38,0.334,0.0,41000.0,123000.0,246000.0,-0.019,0.078,41000.0,0.0,0.0,4,0.993,4,18,3,119617.99,133247.341,1.99,1.99,1,1,1,1,1,1,0,1,4,1,1,1.0,0,0,0,0,0,0.0,0.0,0.370483433738865,6.0,3.0,6.0,6.0,4,24.0,4.0,1.0,0.0,1.0,6,2,1,1.0,10748.0,1.0,1,0.0,0.0,0.0,6.0,13.0,0.0,0.0,5.0,8,39.0,2,1.0,1.0,0.0,0.0,24.0,12.0,-4274.34,0.0,0.0,5.0,2.0,-0.001,0.068,1848.39193,0.417,0.0,0.0,0.833,0.027,0.0,-2195.714,3.0,3.0,-2247.375,0.0
201910.0,65CC29DB31D3AD53E6471CF31CA0DF42D919CC0B1529558EF9A89B1E68F38A2D,0,15000.0,3,0.0,0.064,0.0,519.0,1557.0,3114.0,0.0,0.012,519.0,0.0,0.0,3,0.0,3,6,1,0.0,4562.224,0.0,0.0,0,0,0,0,0,2,1,6,6,4,8,1.333,2,0,2,6,2,3.0,1.5,0.5099418113678352,9.0,6.0,6.0,6.0,4,41.0,6.833,2.0,0.0,2.0,6,2,3,1.5,9298.0,1.0,3,0.0,0.0,0.0,6.0,24.0,0.0,0.0,5.0,1,30.0,1,0.0,0.0,0.0,0.0,24.0,12.0,-22773.61,0.0,0.0,0.0,2.0,-0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201909.0,6CE0054C401FC0D17F510268B65A589D3275697769467845B2FDC7FB749B9B5A,0,30000.0,5,349569.933,1.0,1.0,93526.102,274580.66,561156.61,-0.018,0.926,91526.887,0.917,1.156,5,0.941,5,18,3,339860.84,553537.78,0.0,0.0,0,0,0,0,0,1,0,5,6,3,5,1.0,1,0,2,6,2,2.0,1.0,0.6328003790799118,7.0,4.0,6.0,6.0,4,30.0,5.0,1.0,0.0,2.0,6,2,2,1.0,31441.0,1.0,3,0.0,0.0,0.0,6.0,16.0,1.0,1.0,5.0,3,55.0,3,0.0,1.0,0.0,0.0,24.0,12.0,-16424.79,0.0,0.0,5.0,2.0,0.009,0.726,9723.91279,0.0,0.0,0.04,0.0,0.779,0.0,-8208.24,3.0,3.0,-8177.922,0.0
201910.0,5CC5651C06EE042D0720868552911D49385CFE329FC221C3DC0ED4218996AAD1,0,6100.0,6,720.0,0.036,0.03,6100.0,18300.0,36600.0,0.0,0.024,6100.0,0.026,0.655,6,0.0,6,7,1,0.0,1306.649,0.0,0.0,1,0,1,0,0,1,0,1,6,2,1,1.0,0,0,0,0,0,0.0,0.0,0.3230648356152459,5.0,3.0,6.0,6.0,4,22.0,3.667,2.0,0.0,3.0,6,2,4,1.333,1831.0,1.0,2,0.0,0.0,0.0,6.0,13.0,0.0,0.0,5.0,0,34.0,5,0.0,1.0,0.0,0.0,24.0,12.0,-693.92,0.0,0.0,1.0,1.0,0.003,0.024,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,1.0,1.0,0.0,0.0
201911.0,DF6F4E233CAA62F8DEC4B806A2F896FE7B847E75436FBE220B24EF1B220B6A8F,0,18000.0,2,0.0,0.0,0.0,8900.0,26700.0,53400.0,0.0,0.0,8900.0,0.0,0.0,1,0.0,1,6,1,0.0,0.0,0.0,0.0,0,0,0,0,0,4,1,6,6,4,11,1.833,1,0,3,6,2,3.0,1.0,0.6602965754537085,7.0,6.0,6.0,6.0,4,40.0,6.667,1.0,0.0,3.0,6,2,3,1.0,3842.0,1.0,3,0.0,0.0,0.0,6.0,24.0,3.0,3.0,5.0,3,28.0,4,0.0,0.0,0.0,0.0,13.0,12.0,-3936.33,0.0,1.0,0.0,2.0,-0.05,0.061,0.0,0.0,0.4714,0.0,0.0,0.098,0.4714,0.0,1.0,1.0,0.0,0.0
